Window Size,500 Median,500 Min,500 Max,2500 Median,2500 Min,2500 Max
1,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
5,0.1744421906693712,0.0,0.5,0.1159663865546218,0.0,0.5
10,0.281025641025641,0.0333333333333333,0.6351351351351351,0.21623376623376614,0.0,0.6956521739130435
15,0.3578167115902965,0.1025641025641025,0.7109826589595376,0.29725373134328353,0.05,0.7352941176470589
20,0.4260777170613236,0.1904761904761904,0.8383838383838383,0.34179714091218516,0.0666666666666666,0.7149791955617198
25,0.46643691938867243,0.2333333333333333,0.8637469586374696,0.3860416666666666,0.0666666666666666,0.7766749379652605
30,0.532249742002064,0.2804878048780488,0.8701923076923077,0.414705721773313,0.0526315789473684,0.7897934386391251
35,0.5517604286261003,0.2891566265060241,0.8873239436619719,0.4567648197490378,0.2075471698113207,0.8109510086455332
40,0.5758714422769428,0.2891566265060241,0.9208791208791208,0.47585713781293026,0.2539682539682539,0.8679055750878956
45,0.6006413141314131,0.3095238095238095,0.9279475982532752,0.5015995109775355,0.2843601895734597,0.8782178217821782
50,0.6150317572335922,0.3095238095238095,0.9349240780911064,0.5263481363996828,0.2956989247311828,0.886986301369863
55,0.6303143374038896,0.3255813953488372,0.9491525423728814,0.5401180225040578,0.2838427947598253,0.8969754253308129
60,0.6547582851930678,0.3255813953488372,0.9513742071881608,0.5573481365831092,0.3011583011583011,0.9008924377642086
65,0.6797112462006079,0.3478260869565217,0.9625,0.5893183770400687,0.3211678832116788,0.9178266726537944
70,0.6926717386439919,0.3473684210526316,0.9625,0.6156065919847458,0.3310810810810811,0.9188704616763784
75,0.6957448938726472,0.3981481481481481,0.97119341563786,0.6239186010187623,0.3354632587859425,0.9296394019349165
80,0.7127561136814275,0.4036697247706422,0.97119341563786,0.6298296818129965,0.353125,0.9319167389418908
85,0.7247170908440309,0.4036697247706422,0.98989898989899,0.6344011880768007,0.3685800604229607,0.9599504541701074
90,0.7373303997066374,0.4036697247706422,0.98989898989899,0.6402421682745936,0.4028985507246377,0.9612530915086562
95,0.7412529998736895,0.4036697247706422,0.98989898989899,0.6496625369822485,0.4130434782608695,0.966344131257888
100,0.746114022429812,0.4036697247706422,0.98989898989899,0.6561390136131391,0.424170616113744,0.9672268907563024
105,0.7574964028776978,0.4850746268656716,0.98989898989899,0.6593621001530588,0.4309133489461358,0.9668485102811584
110,0.7663592238742516,0.5506329113924051,0.9919354838709676,0.6716252167878527,0.4387990762124711,0.9708939708939708
115,0.7748056955182472,0.5542168674698795,0.9919354838709676,0.6756528322780496,0.4387990762124711,0.9756701030927836
120,0.7855749651698639,0.5542168674698795,0.9919354838709676,0.6857875955477624,0.4387990762124711,0.9786972552232692
125,0.7922932062658716,0.5755813953488372,0.9919354838709676,0.6922115070645027,0.4598214285714285,0.9846774193548388
130,0.7961076280041798,0.574585635359116,0.9919354838709676,0.7040045766590389,0.4678492239467849,0.98592115848753
135,0.8043571489836178,0.5876288659793815,0.9959839357429718,0.7080516597719705,0.4838012958963283,0.9912385503783352
140,0.8084263822425382,0.5813953488372093,0.9959839357429718,0.7207934525601852,0.4914893617021276,0.9916434540389972
145,0.811189358372457,0.5838150289017341,0.997995991983968,0.7308555891179652,0.4925690021231422,0.995243757431629
150,0.8182423864686539,0.5862068965517241,0.997995991983968,0.7421477761093564,0.4947145877378435,0.995243757431629
155,0.8282203149382892,0.5942857142857143,0.997995991983968,0.7450795167336539,0.5072765072765073,0.9952456418383518
160,0.8282203149382892,0.5988700564971752,1.0,0.7524746256657622,0.512962962962963,0.9956452889944576
165,0.8290395105410586,0.6120218579234973,1.0,0.7593197927150475,0.5119047619047619,0.9956452889944576
170,0.8308026522950225,0.6020942408376964,1.0,0.7601733768671574,0.5199335548172758,0.9960443037974684
175,0.8382861543827017,0.5969387755102041,1.0,0.7620920492196285,0.5255354200988468,0.99723429474516
180,0.8492683387584283,0.601010101010101,1.0,0.7669734560490864,0.531810766721044,0.9976303317535544
185,0.8534704370179949,0.6350710900473934,1.0,0.7754333695189948,0.5417607223476298,0.998026056060008
190,0.8604335130278526,0.6350710900473934,1.0,0.7803320450061846,0.5417607223476298,0.998026056060008
195,0.8628825881497637,0.6301369863013698,1.0,0.7823611048387937,0.5506607929515418,0.998026056060008
200,0.8684740665077744,0.6301369863013698,1.0,0.784144610503465,0.5544715447154471,0.998026056060008
