Window Size,500 Median,500 Min,500 Max,2500 Median,2500 Min,2500 Max
1,0.0,0.0,0.5,0.16666666666666666,0.0,0.5
5,0.3333333333333333,0.0,0.75,0.36931818181818177,0.0,0.8333333333333334
10,0.35504201680672265,0.0,0.7142857142857143,0.4285714285714285,0.0833333333333333,0.7272727272727273
15,0.4,0.0909090909090909,0.7777777777777778,0.4444444444444444,0.1538461538461538,0.6875
20,0.418859649122807,0.0625,0.6923076923076923,0.4588963963963964,0.2542372881355932,0.6923076923076923
25,0.4422222222222222,0.1428571428571428,0.72,0.4615384615384615,0.2891566265060241,0.6551724137931034
30,0.46862745098039216,0.2083333333333333,0.7261146496815286,0.47458172458172454,0.3066666666666666,0.6791338582677166
35,0.48267622461170845,0.238095238095238,0.7383720930232558,0.4848484848484848,0.3402777777777778,0.696763202725724
40,0.5,0.238095238095238,0.7894736842105263,0.49388717042274266,0.330188679245283,0.7142857142857143
45,0.5100040016006402,0.2727272727272727,0.8028169014084507,0.5048188305069039,0.3944444444444444,0.7257438551099612
50,0.525062656641604,0.3076923076923077,0.8111587982832618,0.5116185897435896,0.4155844155844156,0.7777777777777778
55,0.5416988416988417,0.3076923076923077,0.8135593220338984,0.5245650206175199,0.4088397790055249,0.7875920084121977
60,0.55,0.3670886075949367,0.8208333333333333,0.5276503985151217,0.4216216216216216,0.7898022892819979
65,0.5660732625813077,0.382716049382716,0.8247011952191236,0.5390202702702702,0.4339622641509434,0.8050930460333007
70,0.5729483282674772,0.4485981308411215,0.8307086614173228,0.5454907161803713,0.4464285714285714,0.8208255159474672
75,0.5848765432098766,0.46875,0.8307086614173228,0.5519916656452997,0.4745762711864407,0.8212962962962963
80,0.6011390416339355,0.4756097560975609,0.8295454545454546,0.5616892997071019,0.4918032786885246,0.8278322925958965
85,0.6190425075139545,0.48,0.8315018315018315,0.5695250607890815,0.5,0.8406408094435076
90,0.6327860788292443,0.5,0.8327272727272728,0.580834189571025,0.4976303317535545,0.8462823725981621
95,0.6384065372829417,0.4931506849315068,0.8453237410071942,0.5897298096172191,0.5084745762711864,0.8517298187808896
100,0.649561403508772,0.5,0.8551236749116607,0.5981166733058911,0.5166666666666667,0.8589846897663175
105,0.6557112068965517,0.5113636363636364,0.8528428093645485,0.6035680369013703,0.5301204819277109,0.8641509433962264
110,0.6635998661759785,0.5113636363636364,0.8631578947368421,0.6120997314598627,0.5369649805447471,0.8656716417910447
115,0.6760309078201444,0.5314685314685315,0.8661417322834646,0.6179058753394715,0.5493273542600897,0.8667163067758749
120,0.688034188034188,0.5231788079470199,0.8668407310704961,0.6248659029387406,0.5524625267665952,0.8709677419354839
125,0.6887755102040816,0.5473684210526316,0.8721227621483376,0.6300772191541752,0.5602605863192183,0.8713450292397661
130,0.6919121084618981,0.5641025641025641,0.8756345177664975,0.6371336996336996,0.567741935483871,0.8745545260156807
135,0.699673202614379,0.5641025641025641,0.8844221105527639,0.6422378199834847,0.5692307692307692,0.8763326226012793
140,0.7002747833439019,0.5826086956521739,0.8883374689826302,0.6493881038850062,0.5793650793650794,0.8798043326345213
145,0.7077237929204881,0.5862068965517241,0.9043062200956936,0.6571669884169884,0.5754189944134078,0.8847989093387867
150,0.7139893301719028,0.5932203389830508,0.9045346062052506,0.6622789261566535,0.5698924731182796,0.8955597248280175
155,0.7256263112427497,0.5905511811023622,0.911007025761124,0.6684155775245755,0.5577395577395577,0.8964662120272784
160,0.7314917809912248,0.6050420168067226,0.911214953271028,0.6749404237683262,0.5609756097560976,0.8974831184775937
165,0.7398239390356063,0.6083333333333333,0.9157427937915744,0.6813216964122397,0.5732758620689655,0.8970588235294118
170,0.746894569346063,0.6178861788617886,0.9269406392694064,0.6952542151041728,0.5787234042553191,0.8995479658463084
175,0.7520491803278688,0.624,0.9269406392694064,0.6986779551414851,0.5875,0.903
180,0.755499726221535,0.624,0.9271523178807948,0.7065522501906941,0.5855130784708249,0.9042394014962594
185,0.7679562470989485,0.6220472440944882,0.9397849462365592,0.7144891272454602,0.581888246628131,0.9126788357178096
190,0.7719104665825978,0.625,0.9443254817987152,0.7196867597810994,0.5889101338432122,0.913257762444554
195,0.7767131242740999,0.6307692307692307,0.975206611570248,0.7232271697121648,0.5935727788279773,0.9144121987211018
200,0.7802614052614052,0.6538461538461539,0.977366255144033,0.7324299674804801,0.5929368029739777,0.9144121987211018
